TimeMS,Beat,Type,Forehand,numNotes,SwingSpeed,Angle Diff,AngleChangeDiff,Pos Diff,C Stamina,C Pattern Diff,C CombinedDiff,C SmoothedDiff
12375.0,33,1,True,1,0,1.0,0,1,0.9625118414091962,0,0.0,0.0
12750.0,34,0,True,1,0,1.0,0,1,0,0,0,0.0
13125.0,35,1,False,1,0.26666666666666666,1.0,1.0,2.0,0.008333333333333333,0.0625,0.0002463012036201425,0.00029942016320088656
13500.0,36,0,False,1,0.26666666666666666,1.0,1.0,2.4,0.008333333333333333,0.075,0.00042447117835019133,0.0006115767192614519
13875.0,37,1,True,1,0.26666666666666666,1.0,1.0,1.5,0.018633899812498248,0.109375,0.0013272940548620606,0.0014573896590255482
14250.0,38,1,False,1,0.5333333333333333,1.0,1.0,1.5,0.037267799624996496,0.15625,0.003921703394816332,0.0035982334293371506
14625.0,39,0,True,1,0.17777777777777778,1.0,1.0,1,0.016197088596792503,0.10625,0.001213319961325603,0.0037163397821396256
15000.0,40,1,True,1,0.26666666666666666,1.0,1.0,1,0.05335936864527374,0.1875,0.006853527870286867,0.006376149327239198
15375.0,41,1,False,1,0.5333333333333333,1.0,1.0,1.5,0.07168604389202189,0.234375,0.01346335508948137,0.011123338958805792
15750.0,42,0,False,1,0.17777777777777778,1.0,1.0,2.4,0.023895347964007295,0.18125,0.004368508156572596,0.011604199987627238
16124.998500000002,42.999996,1,True,1,0.26666720000106625,1.0,1.0,1.2,0.08858456098242608,0.271875,0.021135746681961963,0.017556733456853425
16500.0,44,0,True,1,0.26666666666666666,1.0,1.0,1.2,0.03390709893259362,0.21875,0.007505752333573567,0.018374795565494206
16875.0,45,1,False,1,0.2666661333344004,1.0,1.0,2.4,0.10034663256273917,0.346875,0.036234960917577226,0.027126649942487275
17250.0,46,1,True,1,0.5333333333333333,1.0,1.0,1,0.11843892002969293,0.378125,0.046930260957835555,0.03741436506896863
17625.0,47,1,False,1,0.5333333333333333,1.0,1.0,1.5,0.1419115530494806,0.42500000000000004,0.06358586046630538,0.05037991627241178
18000.0015,48.000004,1,True,1,0.5333312000085348,1.0,1.0,1.5,0.16541189329835587,0.47187500000000004,0.08271043085554526,0.06608398033852188
18375.0,49,0,False,1,0.10666666666666667,1.0,1.0,1.5,0.041707387509163245,0.265625,0.011214258496545946,0.06460247565607372
18750.0,50,1,False,1,0.26666720000106625,1.0,1.0,2.4,0.1827641862564049,0.546875,0.10538301103676573,0.08236521818912987
19125.0,51,0,True,1,0.26666666666666666,1.0,1.0,1.2,0.05023709219390356,0.30312500000000003,0.015435834515086271,0.08099307452004512
19500.0,52,1,True,1,0.26666666666666666,1.0,1.0,1.5,0.1945435548210963,0.59375,0.1215525593891691,0.09910852999865785
19875.0015,53.000004,0,False,1,0.2666661333344004,1.0,1.0,2.4,0.06195626404427927,0.378125,0.02373960749866256,0.09851185469146567
20250.0,54,1,False,1,0.26666666666666666,1.0,1.0,1.2,0.20632356937101656,0.63125,0.13702214924865846,0.11674857849230168
20625.0,55,0,True,1,0.26666720000106625,1.0,1.0,1,0.07369648055995975,0.409375,0.030654463851267272,0.11653328506505255
21000.0,56,0,False,1,0.5333333333333333,1.0,1.0,2.0,0.09189701697232748,0.47187500000000004,0.04417858434093858,0.1183910355661505
21375.0,57,1,True,1,0.17777777777777778,1.0,1.0,1,0.21609604417682213,0.6625,0.1505871218930671,0.13562304348526508
21750.0,58,0,True,1,0.26666666666666666,1.0,1.0,1.2,0.10897530584481574,0.509375,0.05676541442049652,0.1383692135970453
22125.0,59,1,False,1,0.26666666666666666,1.0,1.0,2.4,0.22595810855383552,0.7375,0.17429022297053895,0.15678651839617525
22500.0,60,0,False,1,0.26666666666666666,1.0,1.0,2.4,0.12074485905278558,0.5843749999999999,0.07205074109295838,0.16057160890938396
22875.0,61,1,True,1,0.26666666666666666,1.0,1.0,1.5,0.23773941220911488,0.7843749999999999,0.19485412416903294,0.1795392427692143
23250.0,62,1,False,1,0.5333333333333333,1.0,1.0,1.5,0.2556158642611961,0.83125,0.22229999722670704,0.20057887100643382
23624.9985,62.999996,1,True,1,0.5333354666751985,1.0,1.0,1.2,0.27916319013938196,0.8687499999999999,0.2547367780026694,0.22407713417963715
24000.0,64,1,False,1,0.5333312000085348,1.0,1.0,2.4,0.3027140351873837,0.94375,0.30002303225868165,0.2512679736942552
24375.0,65,0,True,2,0.10666666666666667,1.0,1.0,1.2,0.12887212534672624,0.6218749999999998,0.08184511726738007,0.25269891820879703
24750.0,66,1,True,1,0.26666666666666666,1.0,1.0,1.2,0.3202163877286042,0.9812499999999998,0.3305201049347341,0.28071973892903757
25125.0,67,0,False,1,0.26666666666666666,1.0,1.0,2.0,0.13722672057413607,0.684375,0.0957838885738347,0.28267985614903
25500.0,68,1,False,1,0.26666666666666666,1.0,1.0,2.4,0.3319995760366334,1.05625,0.3675893220295906,0.3120664784071657
25875.0,69,0,True,1,0.26666666666666666,1.0,1.0,1.2,0.14900182284087873,0.7218749999999999,0.10982809631366147,0.3144577375652403
26250.0,70,0,False,1,0.5333333333333333,1.0,1.0,1.5,0.16697933634274478,0.7687499999999999,0.13135858675878848,0.31878950146903146
26625.0,71,1,True,1,0.17777777777777778,1.0,1.0,1.2,0.3417907829679769,1.09375,0.39166151693236695,0.3472407848224497
27000.0,72,0,True,1,0.26666666666666666,1.0,1.0,1.2,0.1843348067720501,0.8062499999999998,0.15245484647595942,0.352459835829334
27375.0,73,0,False,1,0.5333333333333333,1.0,1.0,1.5,0.2022619008692639,0.8531249999999998,0.17733791763446852,0.359637678506982
27750.0,74,1,False,1,0.17777777777777778,1.0,1.0,2.4,0.3496470176852702,1.1687499999999997,0.4265449428299965,0.3881131958401728
28125.0,75,0,True,1,0.26666666666666666,1.0,1.0,1,0.219674984387102,0.8843749999999998,0.2001787905767455,0.39606526219815474
28500.0,76,1,True,1,0.26666666666666666,1.0,1.0,1.5,0.359494172802144,1.2156249999999997,0.45571898151236145,0.42483666818400534
28875.0,77,0,False,1,0.26666666666666666,1.0,1.0,2.4,0.23145607267965676,0.9593749999999999,0.2284240795329649,0.4339083559589546
29250.0,78,0,True,1,0.5333333333333333,1.0,1.0,1.2,0.24933739351031184,0.9968749999999998,0.25621511912970485,0.44478896864389106
29625.0,79,0,False,1,0.5333333333333333,1.0,1.0,1.5,0.27288355043647616,1.0437499999999997,0.2943956342683318,0.45816922203820415
30000.0,80,0,True,1,0.5333333333333333,1.0,1.0,1.2,0.296433533032666,1.0812499999999996,0.33234606946815404,0.4738754073155407
30375.0,81,1,False,1,0.10666666666666667,1.0,1.0,1.5,0.36770300999107497,1.2624999999999997,0.48351362477707166,0.5001917089940394
30750.0,82,0,False,1,0.26666666666666666,1.0,1.0,2.4,0.3139321504111797,1.1562499999999998,0.376125233723326,0.517622449361938
31125.0,83,1,True,1,0.26666666666666666,1.0,1.0,1,0.3759912117041299,1.29375,0.5065647497459324,0.5436973354984376
31500.0,84,0,True,1,0.26666666666666666,1.0,1.0,1.2,0.32571526230563225,1.1937499999999999,0.40303621385831795,0.5615084073531077
