TimeMS,Beat,Type,Forehand,numNotes,SwingSpeed,Angle Diff,AngleChangeDiff,Pos Diff,C Stamina,C Pattern Diff,C CombinedDiff,C SmoothedDiff
21100.526742599715,69.98341369628906,0,True,2,0,1.0,0,1,0,0,0,0.0
21552.78804913238,71.48341369628906,1,False,1,0.44222222222222224,1.0,1.0,1,0.013819444444444445,0.03125,3.3368435342695707e-05,6.0847341847405616e-05
22155.803124509264,73.48341369628906,1,True,1,0.33166666666666667,1.0,1.0,1,0.02785398076235089,0.0625,0.00026728839938288133,0.0003654984920813931
22231.180008931377,73.73341369628906,0,False,1,0.1768888888888889,1.0,1.0,1,0.005527777777777778,0.03125,3.099134329183148e-05,0.0003023802263073722
22306.556893353485,73.98341369628906,1,False,1,1.3266666666666667,1.0,1.0,1,0.06995560572104167,0.09375,0.0010280892646008402,0.0009917924906457504
22758.818199886147,75.48341369628906,0,True,1,0.3790476190476191,1.0,1.0,1,0.01823123714081289,0.0625,0.00025431541574128625,0.0009810751290728705
23361.833275263034,77.48341369628906,0,False,1,0.33166666666666667,1.0,1.0,1,0.03272913213417254,0.09375,0.0008727436651289773,0.0012956209887375148
23437.210159685143,77.73341369628906,1,True,1,0.1768888888888889,1.0,1.0,1,0.09681997852563924,0.125,0.00247048535931152,0.0022599008783214646
23512.587044107255,77.98341369628906,0,True,1,1.3266666666666667,1.0,1.0,1,0.07454831647843137,0.125,0.0022740925543487077,0.0029303136191423836
23964.848350639917,79.48341369628906,1,False,1,0.3790476190476191,1.0,1.0,1,0.10934688603376164,0.15625,0.004656037856093959,0.004335339263345612
24567.8634260168,81.48341369628906,1,True,1,0.33166666666666667,1.0,1.0,1,0.12494546732357753,0.1875,0.007921290585897174,0.006567485400020282
24643.240310438912,81.73341369628906,0,False,1,0.1768888888888889,1.0,1.0,1,0.10184159250347584,0.15625,0.0045534532071089375,0.007404065270545784
24718.617194861024,81.98341369628906,1,False,1,1.3266666666666667,1.0,1.0,1,0.1640157993107619,0.21875,0.01308307092266979,0.010504826377040468
25170.878501393687,83.48341369628906,1,True,1,0.44222222222222224,1.0,1.0,1,0.2006999963384406,0.25,0.020037122630789314,0.014974152081143912
25623.13980792635,84.98341369628906,1,False,1,0.44222222222222224,1.0,1.0,1,0.22022251915193808,0.28125,0.028255928525043196,0.020845833364456483
25924.64734561479,85.98341369628906,0,True,1,0.156078431372549,1.0,1.0,1,0.10917865067665222,0.1875,0.00762787156246811,0.021281646753448027
26376.908652147456,87.48341369628906,0,False,1,0.44222222222222224,1.0,1.0,1,0.12273448764395609,0.21875,0.01200257194352457,0.022604689878423682
26829.16995868012,88.98341369628906,1,True,1,0.16583333333333333,1.0,1.0,1,0.23347062799671997,0.3125,0.03809404763124187,0.029067151091352314
26979.92372752434,89.48341369628906,0,True,1,0.33166666666666667,1.0,1.0,1,0.13963801433965609,0.25,0.017897142649989418,0.030972610467834366
27130.67749636856,89.98341369628906,1,False,1,0.6633333333333333,1.0,1.0,1,0.2521903632201905,0.34375,0.05037782336489922,0.03861037603503202
27582.938802901223,91.48341369628906,1,True,1,0.44222222222222224,1.0,1.0,1,0.27636640493687986,0.375,0.06550821933012567,0.04814838079036233
28035.20010943389,92.98341369628906,1,False,1,0.44222222222222224,1.0,1.0,1,0.2958986370073103,0.40625,0.08294671278814744,0.05971012082436285
28185.95387827811,93.48341369628906,0,False,1,0.16583333333333333,1.0,1.0,1,0.15048347859744327,0.28125,0.025231642747095235,0.06111488953194083
28336.70764712233,93.98341369628906,1,True,1,0.6633333333333333,1.0,1.0,1,0.32050214807205485,0.4375,0.10380641883025919,0.07434268619619143
28788.968953654992,95.48341369628906,1,False,1,0.44222222222222224,1.0,1.0,1,0.34473487737475045,0.46875,0.12785153991826134,0.09001996139161975
29241.230260187654,96.98341369628906,1,True,1,0.44222222222222224,1.0,1.0,1.44,0.3642710912358761,0.5137499999999999,0.16622556323891757,0.10987398707395488
29542.7377978761,97.98341369628906,1,False,1,0.6633333333333333,1.0,1.0,2.4,0.3888459202941087,0.58875,0.24456898126395715,0.13883950883675847
30748.767948629866,101.98341369628906,0,True,2,0.0780392156862745,1.0,1.0,1,0.1558372697606051,0.3125,0.034101683402032054,0.13832269921284604
31201.02925516253,103.48341369628906,0,False,1,0.44222222222222224,1.0,1.0,1,0.1676090879832568,0.34375,0.04519012571430798,0.1392359988427507
31804.044330539415,105.48341369628906,0,True,1,0.33166666666666667,1.0,1.0,1,0.18457024447733264,0.375,0.058775728215486996,0.14173996824138838
31879.421214961527,105.73341369628906,1,False,1,0.1768888888888889,1.0,1.0,1,0.41448331831683954,0.65125,0.31996474162324995,0.17481001483682726
31954.798099383635,105.98341369628906,0,False,1,1.3266666666666667,1.0,1.0,1,0.22300427519978785,0.40625,0.07648451647150663,0.17806404660978842
32407.059405916298,107.48341369628906,1,True,1,0.3790476190476191,1.0,1.0,1,0.4268316536976255,0.6825,0.34359060264185864,0.21064013391963904
33010.07448129318,109.48341369628906,1,False,1,0.33166666666666667,1.0,1.0,1,0.4425148741892215,0.71375,0.37162252552484526,0.24430681676285868
33085.45136571529,109.73341369628906,0,True,1,0.1768888888888889,1.0,1.0,1,0.254323252960292,0.4375,0.09686112609811465,0.24741955133762913
33160.828250137405,109.98341369628906,1,True,1,1.3266666666666667,1.0,1.0,1,0.4799945674066923,0.745,0.4253899648976761,0.28364115274441226
33613.08955667007,111.48341369628906,0,False,1,0.3790476190476191,1.0,1.0,1,0.2667093433277864,0.46875,0.11850178360951144,0.28765560820601976
34216.104632046954,113.48341369628906,0,True,1,0.33166666666666667,1.0,1.0,1,0.28237763018816187,0.5,0.1435568541620972,0.29386340396715527
34291.481516469066,113.73341369628906,1,False,1,0.1768888888888889,1.0,1.0,1,0.5123376242600596,0.77625,0.4765163815108908,0.330888835746721
34366.85840089117,113.98341369628906,0,False,1,1.3266666666666667,1.0,1.0,1,0.3202713345477475,0.53125,0.17507155192832413,0.33857876360011796
34819.11970742384,115.48341369628906,0,True,1,0.44222222222222224,1.0,1.0,1,0.35814746803805164,0.5625,0.21099240857950383,0.349088777026687
35271.3810139565,116.98341369628906,0,False,1,0.44222222222222224,1.0,1.0,1,0.37768421437045513,0.59375,0.2480794183070269,0.36231870230142604
