songID,Expected Acc,Results,Difference
c32d,14,13.35271341933895,-0.6472865806610493
170d0,7.5,7.876641352296422,0.3766413522964216
1e4b4,5,4.777199213341336,-0.22280078665866387
1df5b,12,11.646898567741884,-0.3531014322581161
217a8,10.25,10.415657165038757,0.16565716503875727
18a92,9.25,9.715891381460759,0.46589138146075904
17cc0,10,10.200015976996319,0.200015976996319
17ecf,7,6.933636799175166,-0.06636320082483405
1cb5f,10.5,10.8682266891806,0.36822668918060053
d6a6,9.25,8.857753336807267,-0.3922466631927328
1db9d,13.25,13.998091745092605,0.748091745092605
20540,12.9,13.516590987614082,0.6165909876140816
1f491,12.5,12.89776755165679,0.39776755165678956
18a27,12.4,11.925066204434978,-0.4749337955650219
1a2cd,11.95,11.430923854529183,-0.5190761454708159
9e5c,11.77,11.807758774959835,0.03775877495983515
16d07,10.08,10.842027012145653,0.7620270121456532
1ace8,10.62,10.678123444440287,0.058123444440287386
1a017,13.22,12.696240643135773,-0.5237593568642271
1a209,13.75,14.327006160387434,0.5770061603874339
15836,9.5,9.47848893203006,-0.02151106796993929
9deb,8,7.5649678939149965,-0.43503210608500353
17914,12.88,13.040624597554809,0.16062459755480774
7d6c,10.75,10.339031343543088,-0.4109686564569124
22639,16,15.21460988993437,-0.7853901100656309
Generation,angle_Easy,angle_Semi_Mid,angle_Mid,angle_Hard,side_Easy,side_Semi_Mid,side_Mid,side_Hard,vert_Easy,vert_Semi_Mid,vert_Mid,stack_Easy_Power,stack_Hard_Power,stamina_Power,pattern_Power,SSSH,pattern_History,stamina_History,combined_History,angle_Div,array_scaling,Top 1% Weight,Median Weight,Accuracy
1,0.5203952638085949,2.266432926236585,1.1461886794680247,5.027215914739099,1.9183083432706975,1.3527447760355664,3.091583253852407,5.981823158554336,1.0129579485684805,2.3143721913116226,1.6302763017728341,0.29604378018164823,1.4696753706780579,1.7755132244134657,0.3600177464905593,199.95,608.35,1823.7,710.85,313.837361094054,4.798296555968038,7.0245340114054855,3.011583215817971,7.799104254889978
2,0.5290156134920082,2.2297940306225508,1.1485835911196989,5.126379755213172,1.8885620735266844,1.3434070303217243,3.084614480277819,5.953662102978585,1.0011753388732363,2.2576776881630014,1.6649402747021882,0.30617622055395277,1.5254499288326664,1.7681449486112952,0.3555491144974275,200.79749999999999,627.4175,1920.435,720.9425,308.6262800023064,4.826607837864775,7.046804557345114,2.9917958645729095,8.016193976869086
3,0.5188667802307506,2.24202572242697,1.165727532148411,5.173573324993585,1.8693250983003142,1.3371516031117816,3.178670943202529,5.95142194865766,1.0236818568967982,2.341175027683814,1.6984590923949014,0.3028977411964478,1.5485854496317217,1.7717522791626958,0.3539001370608946,200.839875,622.620875,1963.22175,724.847125,316.2522877800739,4.8138082991119795,7.0578126517868025,2.989217155675086,7.580905619033723
4,0.523917290304855,2.3857098252142857,1.1737532583264112,5.2516484234530925,1.810901085777133,1.32952099227771,3.319362615550714,6.000745829066765,1.0613351411827294,2.3226311290974015,1.7042011673269062,0.29247499796259313,1.5413865421499557,1.771676786801411,0.34714808038637257,198.89199375,635.13104375,1916.8610875,686.04235625,307.9057218550781,4.792910882948376,7.088421700107686,3.0074474964966185,7.490499942620012
5,0.5346262933141614,2.5098542802490553,1.199472561562723,5.477037891476117,1.8537054653914864,1.333425774814432,3.3593937330488415,5.935761217540226,1.0183765803014395,2.252499087169392,1.7178438656273052,0.2889278099108127,1.5894213316009276,1.7808491875786334,0.33896538134955473,193.6945996875,640.7565521875,1900.643054375,685.9021178125,313.63195987173344,4.784032966764093,7.1050366112167,2.981966300059569,7.2629676977526385
6,0.5280688401012972,2.648551382931245,1.1829847541913154,5.698006227501424,1.8361750733751498,1.3805950414205415,3.242384778220007,5.699387257749402,1.023133491299535,2.3808639003348593,1.7459999604111585,0.28347975144033266,1.6595920874415384,1.7672212869730841,0.31716751921517383,192.184729984375,653.237827609375,1897.43215271875,702.895105890625,313.71117812123055,4.80492592861234,7.16042848262436,3.0063707255382535,6.793420311214175
7,0.5366431666327828,2.8441409603903858,1.180475102433726,5.927948388716368,1.8442575363793678,1.354179912342347,3.3102912844041206,5.965840980705673,1.0135862049146946,2.371898161083979,1.7053894762859543,0.2906327165477831,1.690257394580978,1.771516475201624,0.3153169276591813,196.60923649921875,671.9618913804687,1912.2216076359375,670.9947552945312,313.75171964759113,4.771059966314492,7.141192396060123,2.9989402037556663,6.263363476979018
8,0.548032244222162,2.923766690171264,1.1991794414044838,6.079073722515006,1.856302570540733,1.3819633119723438,3.3279035930615835,5.9571558602932635,1.0075611274809262,2.3523489055244,1.7939392193821917,0.29203256539366573,1.6636829776536324,1.7728397840953498,0.30443037920722216,194.58046182496093,691.5980945690235,1970.0110803817965,671.6497377647265,326.52680942548665,4.753879840040184,7.184793355577642,3.002131879352167,6.516533851743543
9,0.5596774866585974,3.0662661669385116,1.1637047513312433,6.348481507442653,1.7937766777618145,1.401487198758654,3.4191578491559915,6.041896997146923,1.0025927178994474,2.34328861798056,1.7561629209790417,0.28380289944703213,1.676374648724234,1.7784179409711651,0.29967265527437725,193.42902309124804,689.0799047284512,1984.6005540190897,680.5324868882363,319.73868148419166,4.735659661593968,7.150558055899994,3.005259973246602,6.44741794885997
10,0.5646275339607555,3.0839321515267426,1.1503888880134427,6.447269116976503,1.8023690014612466,1.4332881005629083,3.4410193845154815,6.071541189514598,0.9838258075959223,2.285392769030989,1.7846681472428894,0.29926261620219363,1.752261080509027,1.7867144298285358,0.2957264791314327,189.9714511545624,729.0039952364225,1973.4800277009545,668.2766243444119,326.6906085760028,4.726256587804523,7.139152379469567,3.007853551762218,6.520967764266819
